id,line,low_limit,norminal,process,product,site,soucrce,spc,station,up_limit
65,line_1,16.1,0,fqc,Stanford,RT,line_1,LS-127.772KHZ,Scorpius function coupling test,17.7
66,line_1,1830,0,fqc,Stanford,RT,line_1,RS-127.772KHZ,Scorpius function coupling test,2200
67,line_1,6.01,0,fqc,Stanford,RT,line_1,Q-127.772KHZ,Scorpius function coupling test,7.34
68,line_1,0.435,0,fqc,Stanford,RT,line_1,Kmax Tx K,Scorpius function coupling test,0.605
69,line_1,0.435,0,fqc,Stanford,RT,line_1,Kmin1 Tx K,Scorpius function coupling test,0.605
70,line_1,0.435,0,fqc,Stanford,RT,line_1,Kmin2 Tx K,Scorpius function coupling test,0.605
71,line_1,0.435,0,fqc,Stanford,RT,line_1,Kmin3 Tx K,Scorpius function coupling test,0.605
72,line_1,0.435,0,fqc,Stanford,RT,line_1,Kmin4 Tx K,Scorpius function coupling test,0.605
73,line_1,0,0,fqc,Stanford,RT,line_1,OPEN,Orion conductivity+function,50
74,line_1,1000,0,fqc,Stanford,RT,line_1,SHORT,Orion conductivity+function,6000
75,line_1,0,0,fqc,Stanford,RT,line_1,COMM,Orion conductivity+function,1200
76,line_1,0,0,fqc,Stanford,RT,line_1,POWER,Orion conductivity+function,40
77,line_1,0,0,fqc,Stanford,RT,line_1,GND,Orion conductivity+function,40
78,line_1,0.02,0.05,fqc,Stanford,RT,line_1,ST1,RC/Strobe Gap/Offset,0.12
79,line_1,0.02,0.05,fqc,Stanford,RT,line_1,ST2,RC/Strobe Gap/Offset,0.12
80,line_1,0.02,0.05,fqc,Stanford,RT,line_1,ST3,RC/Strobe Gap/Offset,0.12
81,line_1,0.02,0.05,fqc,Stanford,RT,line_1,ST4,RC/Strobe Gap/Offset,0.12
82,line_1,-0.05,0,fqc,Stanford,RT,line_1,SPC O,SIM Tray to HSG offset,0
83,line_1,-0.37,-0.32,fqc,Stanford,RT,line_1,HJ1,coil surface to HSG offset,-0.27
84,line_1,-0.37,-0.32,fqc,Stanford,RT,line_1,HJ2,coil surface to HSG offset,-0.27
85,line_1,-0.37,-0.32,fqc,Stanford,RT,line_1,HH1,coil surface to HSG offset,-0.27
86,line_1,-0.37,-0.32,fqc,Stanford,RT,line_1,HH2,coil surface to HSG offset,-0.27
87,line_1,5,0,fqc,Stanford,RT,line_1,HV,coil surface to HSG offset,5
88,line_1,5,0,fqc,Stanford,RT,line_1,HU1,coil surface to HSG offset,5
89,line_1,5,0,fqc,Stanford,RT,line_1,HU2,coil surface to HSG offset,5
90,line_1,-10000,0,fqc,Stanford,RT,line_1,HE,HE,-350
91,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_0_W,Noodle_gap_offset,0.05
92,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_1_W,Noodle_gap_offset,0.05
93,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_2_W,Noodle_gap_offset,0.05
94,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_3_W,Noodle_gap_offset,0.05
95,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_4_W,Noodle_gap_offset,0.05
96,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_5_W,Noodle_gap_offset,0.05
97,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_6_W,Noodle_gap_offset,0.05
98,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_7_W,Noodle_gap_offset,0.05
99,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_8_W,Noodle_gap_offset,0.05
100,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_9_W,Noodle_gap_offset,0.05
101,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_10_W,Noodle_gap_offset,0.05
102,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_11_W,Noodle_gap_offset,0.05
103,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_12_W,Noodle_gap_offset,0.05
104,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_13_W,Noodle_gap_offset,0.05
105,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_14_W,Noodle_gap_offset,0.05
106,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_15_W,Noodle_gap_offset,0.05
107,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_16_W,Noodle_gap_offset,0.05
108,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_17_W,Noodle_gap_offset,0.05
109,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_18_W,Noodle_gap_offset,0.05
110,line_1,0,0,laser_qc,Stanford,RT,line_1,Gap_19_W,Noodle_gap_offset,0.05
